title,company,location,contract_type,posted_date,company_logo,job_url
Senior Data Engineer,اکالا(توسعه تجارت الکترونیک کوروش) | Okala,تهران، تهران,"قرارداد
              تمام‌وقت",(امروز),https://thumb2.jobinjacdn.com/vkuMPXZjPYslM7b7jFC07eDg1nc=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/2c718e84-6810-41cf-be83-66005a6f8f2a/main.jpg,https://jobinja.ir/companies/okala-1/jobs/tJjY/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-data-engineer-%D8%AF%D8%B1-%D8%A7%DA%A9%D8%A7%D9%84%D8%A7-%D8%AA%D9%88%D8%B3%D8%B9%D9%87-%D8%AA%D8%AC%D8%A7%D8%B1%D8%AA-%D8%A7%D9%84%DA%A9%D8%AA%D8%B1%D9%88%D9%86%DB%8C%DA%A9-%DA%A9%D9%88%D8%B1%D9%88%D8%B4?_ref=16&_t=352e3132372e3234382e3736
DevOps Engineer(مشهد-دورکاری),دیجی اکسپرس | Digi Xpress OÜ,خراسان رضوی، مشهد,"قرارداد
              پاره‌وقت",(امروز),https://thumb2.jobinjacdn.com/2t9L5A_ye1J5tTXMNhFsXUvTYQ8=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/c5a97596-bb39-4a42-a5d8-640f67d0d6df/main.jpg,https://jobinja.ir/companies/digixpress/jobs/tf5g/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-devops-engineer-%D9%85%D8%B4%D9%87%D8%AF-%D8%AF%D9%88%D8%B1%DA%A9%D8%A7%D8%B1%DB%8C-%D8%AF%D8%B1-%D8%AF%DB%8C%D8%AC%DB%8C-%D8%A7%DA%A9%D8%B3%D9%BE%D8%B1%D8%B3?_ref=16&_t=352e3132372e3234382e3736
AI Engineer (مهندس هوش مصنوعی کاربردی),نیک نامان آموزش ورتا | Verta,تهران، تهران,"قرارداد
              تمام‌وقت",(امروز),https://thumb2.jobinjacdn.com/rGec723mdTTfDWRo9Xd6LUGnDBU=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/c8800b01-b942-4f9a-bc18-e58ccdefe667/main.png,https://jobinja.ir/companies/verta-4/jobs/t90h/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-ai-engineer-%D9%85%D9%87%D9%86%D8%AF%D8%B3-%D9%87%D9%88%D8%B4-%D9%85%D8%B5%D9%86%D9%88%D8%B9%DB%8C-%DA%A9%D8%A7%D8%B1%D8%A8%D8%B1%D8%AF%DB%8C-%D8%AF%D8%B1-%D9%86%DB%8C%DA%A9-%D9%86%D8%A7%D9%85%D8%A7%D9%86-%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D9%88%D8%B1%D8%AA%D8%A7?_ref=16&_t=352e3132372e3234382e3736
Senior Business Data Analyst,گروه اسنپ | Snapp Group,تهران، تهران,"قرارداد
              تمام‌وقت",(امروز),https://thumb2.jobinjacdn.com/8GhQs4aK88HRewqMc-emlSjdhUM=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/e1c13d4b-6e85-43f0-a737-6b06578786a1/main.jpg,https://jobinja.ir/companies/snapp-group-1/jobs/t9WZ/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-business-data-analyst-%D8%AF%D8%B1-%DA%AF%D8%B1%D9%88%D9%87-%D8%A7%D8%B3%D9%86%D9%BE?_ref=16&_t=352e3132372e3234382e3736
Machine Learning Engineer,ابرآمد | Abramad,تهران، تهران,"قرارداد
              تمام‌وقت",(امروز),https://thumb2.jobinjacdn.com/F0LF4dcyZrCNfH36AML7z3h1XTI=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/7cf5a9e2-f024-11ea-a065-d6b790452c1a_99c0755c-5fc1-4f01-8ede-ed3a58e953a6/main.png,https://jobinja.ir/companies/abramad/jobs/t96b/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-machine-learning-engineer-%D8%AF%D8%B1-%D8%A7%D8%A8%D8%B1%D8%A2%D9%85%D8%AF?_ref=16&_t=352e3132372e3234382e3736
MLOPS Engineer,ابرآمد | Abramad,تهران، تهران,"قرارداد
              تمام‌وقت",(امروز),https://thumb2.jobinjacdn.com/F0LF4dcyZrCNfH36AML7z3h1XTI=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/7cf5a9e2-f024-11ea-a065-d6b790452c1a_99c0755c-5fc1-4f01-8ede-ed3a58e953a6/main.png,https://jobinja.ir/companies/abramad/jobs/t96H/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-mlops-engineer-%D8%AF%D8%B1-%D8%A7%D8%A8%D8%B1%D8%A2%D9%85%D8%AF?_ref=16&_t=352e3132372e3234382e3736
Senior Software Engineer,اسنپ تریپ | Snapp Trip,تهران، تهران,"قرارداد
              تمام‌وقت",(امروز),https://thumb2.jobinjacdn.com/XULo4wd8Ptg6-S2gejo-J9qZxO4=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/812c43a2-c4ed-11ea-893a-26a4da5b8340_3cce6975-0d6d-4806-808c-21b2dac31f22/main.jpg,https://jobinja.ir/companies/pintapin/jobs/t90g/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-software-engineer-%D8%AF%D8%B1-%D8%A7%D8%B3%D9%86%D9%BE-%D8%AA%D8%B1%DB%8C%D9%BE?_ref=16&_t=352e3132372e3234382e3736
کارشناس هوش مصنوعی (AI Engineer),ستاپ شریف | Setup Sharif,تهران، تهران,"قرارداد
              تمام‌وقت",(امروز),https://thumb2.jobinjacdn.com/67czRxSgqFB28y4v4wHW2-A28tA=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/cda79771-56c3-4378-ac77-568f37ce362d/main.jpg,https://jobinja.ir/companies/setupsharif/jobs/t909/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D9%87%D9%88%D8%B4-%D9%85%D8%B5%D9%86%D9%88%D8%B9%DB%8C-ai-engineer-%D8%AF%D8%B1-%D8%B3%D8%AA%D8%A7%D9%BE-%D8%B4%D8%B1%DB%8C%D9%81?_ref=16&_t=352e3132372e3234382e3736
کارشناس جمع‌آوری داده‌ها (Data Crawler),پژوهشگاه توسعه فناوری‌های پیشرفته خواجه‌ نصیرالدین طوسی | Research Center for Development of Advanced Technologies,تهران، تهران,"قرارداد
              تمام‌وقت",(امروز),https://thumb2.jobinjacdn.com/DVztfwIcD-JBjXS5j-iJUqKfY5U=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/368a1056-49a0-4d39-bacd-1755a682b225/main.jpg,https://jobinja.ir/companies/research-center-on-developing-advanced-technologies/jobs/t96j/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%AC%D9%85%D8%B9-%D8%A2%D9%88%D8%B1%DB%8C-%D8%AF%D8%A7%D8%AF%D9%87-%D9%87%D8%A7-data-crawler-%D8%AF%D8%B1-%D9%BE%DA%98%D9%88%D9%87%D8%B4%DA%AF%D8%A7%D9%87-%D8%AA%D9%88%D8%B3%D8%B9%D9%87-%D9%81%D9%86%D8%A7%D9%88%D8%B1%DB%8C-%D9%87%D8%A7%DB%8C-%D9%BE%DB%8C%D8%B4%D8%B1%D9%81%D8%AA%D9%87-%D8%AE%D9%88%D8%A7%D8%AC%D9%87-%D9%86%D8%B5%DB%8C%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86-%D8%B7%D9%88%D8%B3%DB%8C?_ref=16&_t=352e3132372e3234382e3736
Software Engineer,هرمس کپیتال |  Hermes Capital,تهران، تهران,"قرارداد
              تمام‌وقت",(امروز),https://thumb2.jobinjacdn.com/pRHd14fasHHXCtSreH_s0iQcgzA=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/4a022091-92ef-441e-8129-68e10c5bbe93/main.png,https://jobinja.ir/companies/sarmaye-gostar-hermes/jobs/tWA8/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-software-engineer-%D8%AF%D8%B1-%D9%87%D8%B1%D9%85%D8%B3-%DA%A9%D9%BE%DB%8C%D8%AA%D8%A7%D9%84?_ref=16&_t=352e3132372e3234382e3736
Full-Stack Engineer (NestJS-NextJS-دورکاری),آی‌تی‌هوم | Ithome,تهران، تهران,"قرارداد
              دورکاری",(۱ روز پیش),https://thumb2.jobinjacdn.com/_UxcepWJYmaY10EpT71eAtsT7TI=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/55e31299-8f43-47aa-a5d3-6eeb4679d261/main.jpg,https://jobinja.ir/companies/rayan-kaveh/jobs/t9qx/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-full-stack-engineer-nestjs-nextjs-%D8%AF%D9%88%D8%B1%DA%A9%D8%A7%D8%B1%DB%8C-%D8%AF%D8%B1-%D8%A2%DB%8C-%D8%AA%DB%8C-%D9%87%D9%88%D9%85?_ref=16&_t=352e3132372e3234382e3736
Frontend Engineer (NextJS / React / TypeScript),آی‌تی‌هوم | Ithome,تهران، تهران,"قرارداد
              دورکاری",(۱ روز پیش),https://thumb2.jobinjacdn.com/_UxcepWJYmaY10EpT71eAtsT7TI=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/55e31299-8f43-47aa-a5d3-6eeb4679d261/main.jpg,https://jobinja.ir/companies/rayan-kaveh/jobs/t9qj/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-frontend-engineer-nextjs-react-typescript-%D8%AF%D8%B1-%D8%A2%DB%8C-%D8%AA%DB%8C-%D9%87%D9%88%D9%85?_ref=16&_t=352e3132372e3234382e3736
Machine Learning Engineer,گروه حصین | Hasin Technology,تهران، تهران,"قرارداد
              تمام‌وقت",(۱ روز پیش),https://thumb2.jobinjacdn.com/YURh4rEN2uTAqxxAMvybjHyLCoc=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/db1bf506-82ae-4ee7-b0e2-ff4b54be573c/main.jpg,https://jobinja.ir/companies/hasin/jobs/t9qz/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-machine-learning-engineer-%D8%AF%D8%B1-%DA%AF%D8%B1%D9%88%D9%87-%D8%AD%D8%B5%DB%8C%D9%86?_ref=16&_t=352e3132372e3234382e3736
Head of Data,دکتر ساینا | Dr Saina,تهران، تهران,"قرارداد
              تمام‌وقت",(۱ روز پیش),https://thumb2.jobinjacdn.com/DFfFUotlN6I-G7PTJBDuUsDtWyU=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/0604ee68-6eae-406e-ad6b-d4f134235b07/main.jpg,https://jobinja.ir/companies/drsaina/jobs/t9tF/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-head-of-data-%D8%AF%D8%B1-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%B3%D8%A7%DB%8C%D9%86%D8%A7?_ref=16&_t=352e3132372e3234382e3736
مهندس داده (Data Engineer),مهیمن | Mohaymen,تهران، تهران,"قرارداد
              تمام‌وقت",(۱ روز پیش),https://thumb2.jobinjacdn.com/JJj6vyuNR-pVO0KnWuVmrjb3m44=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/e70c97d8-60b0-4bcd-9b53-fc017c3477f6/main.png,https://jobinja.ir/companies/mohaymen/jobs/t9SY/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%85%D9%87%D9%86%D8%AF%D8%B3-%D8%AF%D8%A7%D8%AF%D9%87-data-engineer-%D8%AF%D8%B1-%D9%85%D9%87%DB%8C%D9%85%D9%86?_ref=16&_t=352e3132372e3234382e3736
TechOps Engineer (Technical Operations),جیبیت | Jibit,تهران، تهران,"قرارداد
              تمام‌وقت",(۱ روز پیش),https://thumb2.jobinjacdn.com/lYHg6Snjs6z_j0ccsjYU6wSRQLY=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/62e0323b-5da1-41b9-b37e-0eb29931b235/main.jpg,https://jobinja.ir/companies/jibit/jobs/t9Am/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-techops-engineer-technical-operations-%D8%AF%D8%B1-%D8%AC%DB%8C%D8%A8%DB%8C%D8%AA?_ref=16&_t=352e3132372e3234382e3736
Senior Data Engineer,گروه اسنپ | Snapp Group,تهران، تهران,"قرارداد
              تمام‌وقت",(۱ روز پیش),https://thumb2.jobinjacdn.com/8GhQs4aK88HRewqMc-emlSjdhUM=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/e1c13d4b-6e85-43f0-a737-6b06578786a1/main.jpg,https://jobinja.ir/companies/snapp-group-1/jobs/t9AC/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-data-engineer-%D8%AF%D8%B1-%DA%AF%D8%B1%D9%88%D9%87-%D8%A7%D8%B3%D9%86%D9%BE?_ref=16&_t=352e3132372e3234382e3736
Senior Data Scientist,گروه اسنپ | Snapp Group,تهران، تهران,"قرارداد
              تمام‌وقت",(۱ روز پیش),https://thumb2.jobinjacdn.com/8GhQs4aK88HRewqMc-emlSjdhUM=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/e1c13d4b-6e85-43f0-a737-6b06578786a1/main.jpg,https://jobinja.ir/companies/snapp-group-1/jobs/t9Ao/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-data-scientist-%D8%AF%D8%B1-%DA%AF%D8%B1%D9%88%D9%87-%D8%A7%D8%B3%D9%86%D9%BE?_ref=16&_t=352e3132372e3234382e3736
تحلیل‌گر داده (Data Analyst-اصفهان-حضوری-امریه سربازی),نشاط رخ | Neshatrokh,اصفهان، اصفهان,"قرارداد
              تمام‌وقت",(۱ روز پیش),https://thumb2.jobinjacdn.com/FgK1WlQh0HoS0n4LBd5XtzpZoFk=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/c3e32e0f-92eb-42e2-ba3a-554b9dcc6f8c/main.jpg,https://jobinja.ir/companies/neshatrokh/jobs/tf5x/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%AA%D8%AD%D9%84%DB%8C%D9%84-%DA%AF%D8%B1-%D8%AF%D8%A7%D8%AF%D9%87-data-analyst-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86-%D8%AD%D8%B6%D9%88%D8%B1%DB%8C-%D8%A7%D9%85%D8%B1%DB%8C%D9%87-%D8%B3%D8%B1%D8%A8%D8%A7%D8%B2%DB%8C-%D8%AF%D8%B1-%D9%86%D8%B4%D8%A7%D8%B7-%D8%B1%D8%AE?_ref=16&_t=352e3132372e3234382e3736
Senior Software Engineer,بیمه دات کام | Bimeh.Com,تهران، تهران,"قرارداد
              تمام‌وقت",(۱ روز پیش),https://thumb2.jobinjacdn.com/n8Mv7mrVLT4VoxJiDdBL5HISDJ4=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/b20c2365-490b-4055-ba66-b37965868ed8/main.png,https://jobinja.ir/companies/aryapardaz-raika/jobs/tszC/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-software-engineer-%D8%AF%D8%B1-%D8%A8%DB%8C%D9%85%D9%87-%D8%AF%D8%A7%D8%AA-%DA%A9%D8%A7%D9%85?_ref=16&_t=352e3132372e3234382e3736
Senior Data Scientist (دورکاری),کوکافه | KooCafe,تهران، تهران,"قرارداد
              دورکاری",(۱ روز پیش),https://thumb2.jobinjacdn.com/fusySY58oPCrKrI4hEdbZH95-YA=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/1fd5e4db-b5b3-455b-99fd-57b3ca15855e/main.png,https://jobinja.ir/companies/koocafe/jobs/AFiE/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-data-scientist-%D8%AF%D9%88%D8%B1%DA%A9%D8%A7%D8%B1%DB%8C-%D8%AF%D8%B1-%DA%A9%D9%88%DA%A9%D8%A7%D9%81%D9%87?_ref=16&_t=352e3132372e3234382e3736
Senior ML Engineer(دورکاری),کوکافه | KooCafe,تهران، تهران,"قرارداد
              دورکاری",(۱ روز پیش),https://thumb2.jobinjacdn.com/fusySY58oPCrKrI4hEdbZH95-YA=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/1fd5e4db-b5b3-455b-99fd-57b3ca15855e/main.png,https://jobinja.ir/companies/koocafe/jobs/AFiu/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-ml-engineer-%D8%AF%D9%88%D8%B1%DA%A9%D8%A7%D8%B1%DB%8C-%D8%AF%D8%B1-%DA%A9%D9%88%DA%A9%D8%A7%D9%81%D9%87?_ref=16&_t=352e3132372e3234382e3736
