ID,SYMBOL,URI,ASSET_TYPE,NAME,LAUNCH_DATE,SUPPLY_MAX,SUPPLY_ISSUED,SUPPLY_CIRCULATING,SUPPLY_FUTURE,SUPPLY_LOCKED,SUPPLY_BURNT,SUPPLY_STAKED,PRICE_USD,MKT_CAP_PENALTY,CIRCULATING_MKT_CAP_USD,TOTAL_MKT_CAP_USD,SPOT_MOVING_24_HOUR_QUOTE_VOLUME_USD,SPOT_MOVING_24_HOUR_CHANGE_USD,SPOT_MOVING_24_HOUR_CHANGE_PERCENTAGE_USD,SPOT_MOVING_7_DAY_QUOTE_VOLUME_USD,SPOT_MOVING_7_DAY_CHANGE_USD,SPOT_MOVING_7_DAY_CHANGE_PERCENTAGE_USD,SPOT_MOVING_30_DAY_QUOTE_VOLUME_USD,SPOT_MOVING_30_DAY_CHANGE_USD,SPOT_MOVING_30_DAY_CHANGE_PERCENTAGE_USD,LOGO_URL
1,BTC,bitcoin,BLOCKCHAIN,Bitcoin,1230940800,20999999.9769,19826053.0,19826053.0,1173946.9769,0.0,0.0,0.0,94477.3454680602,0.0,1873112858549.0713,1873112858549.0713,18932502422.8442,-1062.4329624775,-1.11203205610315,126880080097.285,-1350.3073755806,-1.40909991584982,919356506807.427,-6815.2957412678,-6.728322669742159,https://resources.cryptocompare.com/asset-management/1/1659708726266.png
2,ETH,ethereum,BLOCKCHAIN,Ethereum,1438214400,-1.0,125126445.226932,120556766.349946,-1.0,0.0,4569678.87698588,33583098.0,2619.8488331957,0.0,315840503655.7527,315840503655.7527,13224995137.9502,-115.4609908879,-4.2211302672662505,72896748685.7523,17.32547737716,0.665718420486983,492749327018.513,-593.81391949586,-18.4777920146885,https://resources.cryptocompare.com/asset-management/2/1724756690647.png
13,XRP,xrp,BLOCKCHAIN,XRP,1348617600,100000000000.0,100000000000.0,57818864895.0,0.0,37430000005.0,13548572.0,,2.50163293253512,,144641576543.13077,250129399699.60797,3792935754.4909,-0.16761140374358,-6.2793578491676705,26951907277.3117,0.07445077036254,3.06737465044234,166725918779.677,-0.47215878970112,-15.8773321672328,https://resources.cryptocompare.com/asset-management/13/1720685001950.png
7,USDT,tether,TOKEN,Tether,1412553600,-1.0,148849657023.7322,141762384601.69476,-1.0,7087272422.03744,0.0,0.0,0.999957272244761,0.0,141756327413.22342,148843297012.0195,623823438.226421,-0.000156062387498875,-0.0156044702229932,3508017758.03831,-6.10519743092e-05,-0.00610508555999476,24228991817.4734,0.00118486346783,0.118631978358408,https://resources.cryptocompare.com/asset-management/7/1720792178124.png
8,BNB,binance-coin,BLOCKCHAIN,Binance Coin,1555545600,100000000.0,202000000.0,142477188.12,0.0,0.0,59935247.711791,,631.452212136376,0.0,89967535617.3446,89967535617.3446,726508150.144664,-32.727701902523,-4.92753562863785,8437650039.40219,-10.735572207214,-1.67171853295019,26277915363.1342,-50.979879878869,-7.47032275816978,https://resources.cryptocompare.com/asset-management/8/1661250459982.png
3,SOL,solana,BLOCKCHAIN,Solana,1585612800,-1.0,605745099.764214,488505764.4235683,-1.0,178442288.8329546,11375426.0,,161.872004425872,0.0,79075407260.83583,96213487294.25874,4859816331.60746,-15.876588589872,-8.93204740499169,18807155839.1129,-36.420343515924,-18.3669939329249,140779566308.417,-91.464315130936,-36.103909337179005,https://resources.cryptocompare.com/asset-management/3/1659972172429.png
14,USDC,usd-coin,TOKEN,USDC,1536537600,-1.0,56355240034.154,56355240034.154,-1.0,0.0,0.0,,1.00010602704402,0.0,56361215213.66986,56361215213.66986,2200086907.48765,0.000166293128696125,0.0166303151135913,12085280168.3811,1.79967731198438e-05,0.00179951889984814,84057568673.5005,-0.00017310217955,-0.017305387515619202,https://resources.cryptocompare.com/asset-management/14/1728310128919.png
26,DOGE,dogecoin,BLOCKCHAIN,Dogecoin,1386460800,-1.0,148099596383.705,148099596383.705,-1.0,0.0,0.0,,0.24443525666561,,36200762854.124176,36200762854.124176,1219623721.12246,-0.014628240859254,-5.64658510327185,8414848901.03612,-0.00973742275874,-3.83102652133711,62788785303.337,-0.115386248669366,-32.067635468854796,https://resources.cryptocompare.com/asset-management/26/1662541306654.png
12,ADA,cardano,BLOCKCHAIN,Cardano,1506124800,45000000000.0,45000000000.0,35925881809.4041,0.0,9074118190.5959,0.0,,0.742113762384904,,26661091316.572258,33395119307.32068,658462657.478416,-0.055944484540762,-7.01007536182668,4084080289.41532,-0.038357844556124,-4.91470083152202,24154306209.4954,-0.252414360528899,-25.3803140115703,https://resources.cryptocompare.com/asset-management/12/1722244193379.png
28,TRX,tron,BLOCKCHAIN,TRON,1529884800,-1.0,110454558388.267,86090894153.20743,-1.0,0.0,24363664235.05938,,0.233364438484083,,20090553172.655876,20090553172.655876,419575505.677688,-0.007430560145356,-3.0858448836767303,2696467078.65009,-0.007657982550619,-3.17729052664209,16217485912.8084,0.004705663011372,2.05794114030563,https://resources.cryptocompare.com/asset-management/28/1724057701635.png
