title,publisher,rating_from_5,rating_count,finalPrice,originalPrice,discountInfo,offer,discountDescriptor,release,genre,product_tag,noticesListItem3,discribtionTag,ratingProgresBar,subtitles,voices
Fortnite,Epic Games,4.32,7447202 ratings,Free,,,,,7/21/2017,,"['PS5', 'Fortnite', 'PS5 Pro Enhanced']","['In-game purchases optional', 'Online play required', '99 online players', 'PS5 VersionVibration function and trigger effect required', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play required', '99 online players', 'PS5 VersionVibration function and trigger effect required', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['Diverse Content: Discretion AdvisedIn-Game Purchases, Users Interact']","['71%', '10%', '8%', '1%', '10%']","['Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish']",[]
NBA 2K25 Standard Edition,2K,3.17,24029 ratings,$20.99,$69.99,Save 70%,Save 70%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,9/4/2024,,"['PS4', 'PS5', 'Standard Edition', 'PS5 Pro Enhanced', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 10 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro EnhancedView All', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 10 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro EnhancedView All']","['In-Game Purchases (Includes Random Items), Users Interact']","['42%', '10%', '8%', '5%', '35%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Spanish']",[]
MLB® The Show™ 25,Sony Interactive Entertainment,3.78,1457 ratings,$69.99,,,,,3/18/2025,,"['PS5', 'Standard Edition']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 8 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'Game Help supportedView All', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 8 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'Game Help supportedView All']","['No DescriptorsIn-Game Purchases (Includes Random Items), Users Interact']","['57%', '12%', '6%', '4%', '22%']",['English'],[]
Assassin’s Creed Shadows,Ubisoft Entertainment,4.64,15124 ratings,$69.99,,,,,3/20/2025,,"['PS5', 'Standard Edition', 'PS5 Pro Enhanced']","['In-game purchases optional', 'Online play optional', '1 player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'In-game purchases optional', 'Online play optional', '1 player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced']","['Blood and Gore, Intense Violence, LanguageIn-Game Purchases, Users Interact']","['84%', '7%', '2%', '2%', '5%']","['English, French (France), Japanese, Portuguese (Brazil), Spanish']",[]
Call of Duty®: Black Ops 6 - Cross-Gen Bundle,Activision,3.96,530449 ratings,$48.99,$69.99,Save 30%,Save 30%Offer ends 4/2/2025 03:59 PM UTC,Offer ends 4/2/2025 03:59 PM UTC,10/25/2024,,"['PS4', 'PS5', 'BO6 Cross-Gen', 'PS5 Pro Enhanced', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5']","['PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 40 online players with PS Plus', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 40 online players with PS Plus', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced']","['Blood and Gore, Intense Violence, Strong Language, Suggestive Themes, Use of DrugsIn-Game Purchases, Users Interact']","['59%', '11%', '12%', '2%', '16%']","['English, French (France), Portuguese (Brazil), Spanish (Mexico)']",[]
EA SPORTS FC™ 25 Standard Edition PS4 & PS5,Electronic Arts Inc,3.37,124738 ratings,$69.99,,,Subscribe to EA Play to get a 10-hour game trial,,9/20/2024,,"['PS4', 'PS5', 'Standard Edition', 'PS5 Pro Enhanced', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 22 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionPS5 Pro Enhanced', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 22 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionPS5 Pro Enhanced']","['In-Game Purchases (Includes Random Items), Users Interact']","['47%', '9%', '9%', '4%', '31%']","['English, French (France), Portuguese (Brazil), Spanish (Mexico)', 'English, French (France), Portuguese (Brazil), Spanish (Mexico)']","['Arabic, Chinese, Dutch, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)', 'English, French (France)']"
Marvel Rivals,UK Netease Interactive Entertainment Limited,4.37,97342 ratings,Free,,,,,12/6/2024,,"['PS5', 'PS5 Pro Enhanced']","['In-game purchases optional', 'Online play required', '12 online players', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play required', '12 online players', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['Suggestive Themes, ViolenceIn-Game Purchases (Includes Random Items), Users Interact']","['76%', '8%', '4%', '2%', '11%']","['Arabic, Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Thai, Turkish']",[]
Roblox,ROBLOX Corporation,4.09,651638 ratings,Free,,,,,10/10/2023,,['PS4'],"['In-game purchases optional', 'Online play required', '99 online players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS4 VersionPS Camera optional', 'PS4 Pro Enhanced', 'DUALSHOCK\xa04 vibrationView All PS5 & PS4 Compatibility Notices', 'In-game purchases optional', 'Online play required', '99 online players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS4 VersionPS Camera optional', 'PS4 Pro Enhanced', 'DUALSHOCK\xa04 vibrationView All PS5 & PS4 Compatibility Notices']","['Diverse Content: Discretion AdvisedIn-Game Purchases (Includes Random Items), Users Interact']","['65%', '9%', '10%', '2%', '14%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Spanish']",[]
EA SPORTS™ College Football 25,Electronic Arts Inc,3.87,23022 ratings,$69.99,,,Included with EA Play,,7/15/2024,,"['PS5', 'Standard Edition', 'PS5 Pro Enhanced', 'PS5', 'PS5', 'PS4', 'PS5']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 6 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionPS5 Pro Enhanced', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 6 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionPS5 Pro Enhanced']","['No DescriptorsIn-Game Purchases (Includes Random Items), Users Interact']","['59%', '12%', '6%', '4%', '20%']",['English'],[]
EA SPORTS™ Madden NFL 25,Electronic Arts Inc,3.36,13674 ratings,$69.99,,,Included with EA Play,,8/16/2024,,"['PS4', 'PS5', 'Standard Edition', 'PS5 Pro Enhanced', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 6 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionPS5 Pro Enhanced', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 6 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionPS5 Pro Enhanced']","['Mild LyricsIn-Game Purchases (Includes Random Items), Users Interact']","['47%', '10%', '8%', '5%', '31%']",['English'],[]
